,date,home_team,away_team,result,toss,home_rank,home_rating,away_rank,away_rating
260,2010/02/19,New Zealand,New Zealand,home,Bangladesh,6,81.0,6,81.0
261,2010/11/08,Pakistan,India,draw,away,6,88.0,1,129.0
262,2006/06/05,England,Sri Lanka,away,away,2,112.0,6,97.0
263,2006/03/05,India,England,draw,away,3,111.0,2,113.0
264,2004/11/24,India,South Africa,draw,away,3,107.0,6,100.0
265,2008/01/06,Australia,Australia,home,home,1,141.0,1,141.0
266,2013/03/18,New Zealand,New Zealand,draw,home,8,78.0,8,78.0
267,2004/04/14,West Indies,West Indies,draw,home,8,80.0,8,80.0
268,2006/11/23,Pakistan,Pakistan,draw,home,3,112.0,3,112.0
269,2010/07/16,England,Australia,away,Pakistan,4,111.0,3,113.0
270,2010/07/30,Sri Lanka,Sri Lanka,draw,home,5,111.0,5,111.0
271,2008/11/10,India,India,home,home,3,116.0,3,116.0
272,2012/06/11,England,England,draw,home,1,117.0,1,117.0
273,2008/11/22,South Africa,South Africa,home,Bangladesh,2,117.0,2,117.0
274,2009/12/30,Australia,Australia,home,home,3,116.0,3,116.0
275,2006/07/17,England,England,draw,home,2,112.0,2,112.0
276,2010/11/29,Australia,Australia,draw,England,5,110.0,5,110.0
277,2012/05/21,England,England,home,home,1,116.0,1,116.0
278,2006/07/31,Sri Lanka,South Africa,home,away,6,97.0,5,101.0
279,2006/07/02,West Indies,India,away,away,8,74.0,4,109.0
280,2013/01/14,South Africa,South Africa,home,home,1,124.0,1,124.0
281,2009/12/15,New Zealand,New Zealand,draw,Pakistan,7,81.0,7,81.0
282,2007/10/05,Pakistan,South Africa,away,away,6,96.0,3,109.0
283,2012/11/17,Bangladesh,Bangladesh,West Indies,West Indies,9,0.0,9,0.0
284,2005/11/24,Pakistan,Pakistan,draw,home,7,95.0,7,95.0
285,2009/03/10,West Indies,West Indies,draw,England,7,89.0,7,89.0
286,2011/05/24,West Indies,West Indies,Pakistan,Pakistan,7,88.0,7,88.0
287,2010/08/29,England,England,home,Pakistan,5,112.0,5,112.0
288,2012/07/04,Sri Lanka,Sri Lanka,draw,home,6,103.0,6,103.0
289,2011/11/26,India,India,draw,West Indies,2,118.0,2,118.0
290,2008/07/14,England,England,draw,South Africa,4,106.0,4,106.0
291,2010/12/05,Sri Lanka,Sri Lanka,draw,home,5,109.0,5,109.0
292,2009/11/20,Pakistan,India,draw,away,6,84.0,3,119.0
293,2005/03/05,South Africa,Zimbabwe,home,away,6,99.0,9,41.0
294,2010/03/16,Bangladesh,Bangladesh,England,home,9,9.0,9,9.0
295,2007/08/13,England,India,draw,away,2,111.0,3,107.0
296,2009/03/10,South Africa,South Africa,Australia,Australia,2,119.0,2,119.0
297,2011/09/12,Sri Lanka,Sri Lanka,draw,home,5,103.0,5,103.0
